episodes,raw_rewards,shaped_rewards,rolling_avg,ep_lengths,td_losses,mean_qs,epsilons,variant
0,-347.83186075510366,-352.62186075510374,-347.83186075510366,115,2.6726869971900413,-0.4987374102770315,0.992,d3qn
1,-90.54001935508958,-93.71001935508951,-219.18594005509664,73,29.26046711004682,-3.3438604866861885,0.9840639999999999,d3qn
2,-164.50629809380953,-168.3662980938094,-200.9593927346676,94,47.6209832799806,-10.094286742836925,0.9761914879999999,d3qn
3,-260.61515502744555,-264.1551550274456,-215.87333330786208,84,58.79478393250314,-14.35724159267763,0.9683819560959999,d3qn
4,-97.24142259729817,-100.10142259729817,-192.1469511657493,68,54.36733456921496,-13.73092930094335,0.9606349004472319,d3qn
5,-94.65460748482677,-99.37460748482674,-175.8982272189289,116,50.779470677277835,-8.511950436173647,0.952949821243654,d3qn
6,-132.4358718759915,-136.19587187599143,-169.689319312795,83,54.53080560150399,-7.808938855546533,0.9453262226737048,d3qn
7,-336.2298745584842,-340.4198745584843,-190.5068887185061,97,64.42694995509139,1.1498693568744074,0.9377636128923151,d3qn
8,-117.12468629397601,-120.29468629397599,-182.3533106713361,73,51.49832977418803,-7.180112774609399,0.9302615039891766,d3qn
9,-402.99112545069505,-407.06112545069504,-204.417092149272,97,65.50106386385266,2.4519543377045117,0.9228194119572632,d3qn
10,-94.7638790471884,-97.39387904718836,-194.44861823090076,64,57.8589256904019,-7.45243507986216,0.9154368566616051,d3qn
11,-225.83033758393282,-230.52033758393281,-197.0637615103201,107,71.02946339104265,-5.772702443393123,0.9081133618083123,d3qn
12,-147.45406250542817,-150.5240625054281,-193.2476308176361,74,65.50078883320779,-11.172783145140908,0.9008484549138458,d3qn
13,-92.06700454394482,-95.6970045439448,-186.02044322665816,81,68.92229677355772,-10.053695446440035,0.893641667274535,d3qn
14,-190.7605267176519,-193.62052671765184,-186.33644879272438,65,71.23478629722128,-22.442745078757085,0.8864925339363386,d3qn
15,-321.66405601969836,-325.87405601969846,-194.79442424441027,101,69.45098130550164,-10.949176364409956,0.8794005936648479,d3qn
16,-145.47483900509928,-149.83483900509927,-191.8932721715096,104,65.55254833713155,-14.855165336464962,0.8723653889155292,d3qn
17,-190.46419407364644,-194.77419407364644,-191.81387894385054,106,78.21024558938569,-9.365439686554648,0.865386465804205,d3qn
18,-165.99723219277948,-171.79723219277946,-190.45510806221523,131,58.64193277134158,-15.689922857761696,0.8584633740777713,d3qn
19,-139.71973168480474,-144.29973168480464,-187.9183392433447,109,67.70369941930113,-14.230176691293776,0.8515956670851491,d3qn
