episodes,raw_rewards,shaped_rewards,rolling_avg,ep_lengths,td_losses,mean_qs,epsilons,variant
0,-384.6814870041692,-388.6014870041695,-384.6814870041692,100,3.451049078810521,-0.4849789754074079,0.992,dqn_per
1,-152.32335916703934,-155.01335916703937,-268.5024230856043,67,59.001309844498486,-2.549561283176004,0.9840639999999999,dqn_per
2,-295.9210948443743,-300.0310948443745,-277.6419803385276,96,71.16079940243041,-9.773235876955113,0.9761914879999999,dqn_per
3,-103.34539873866738,-107.10539873866738,-234.06783493856256,86,66.33608768911435,-8.244305299258826,0.9683819560959999,dqn_per
4,-49.23051862302975,-52.20051862302974,-197.100371675456,66,74.78285567650778,-8.892536304917224,0.9606349004472319,dqn_per
5,-331.060411945487,-335.9104119454869,-219.42704505379447,115,80.20038830479805,-0.7448404493292585,0.952949821243654,dqn_per
6,-83.71046696947849,-87.1104669694785,-200.03896247032077,80,121.65697643018657,-6.161510169169615,0.9453262226737048,dqn_per
7,-119.09503037807369,-123.74503037807364,-189.9209709587899,111,97.28735779428813,-6.038300539927287,0.9377636128923151,dqn_per
8,-96.90066051780803,-99.79066051780802,-179.58538090979192,65,93.02486417419902,-3.83821723943646,0.9302615039891766,dqn_per
9,-526.2624067174061,-530.1824067174061,-214.2530834905533,94,98.95871701694757,11.906647961344643,0.9228194119572632,dqn_per
10,-180.62796310646644,-182.99796310646644,-211.19625436472722,60,137.8513207871073,0.19713730861731377,0.9154368566616051,dqn_per
11,-165.97325955867552,-170.59325955867536,-207.42767146422293,105,112.242338857589,-8.891810692776252,0.9081133618083123,dqn_per
12,-110.1966924336605,-114.08669243366049,-199.9483653849489,91,96.72728066288683,-1.4736720408586725,0.9008484549138458,dqn_per
13,-238.10034042191674,-241.42034042191665,-202.67350645901803,76,86.0385943550673,1.1924283650144498,0.893641667274535,dqn_per
14,-167.75595965901408,-170.92595965901407,-200.34567000568444,73,84.51498647426784,-12.784052965600186,0.8864925339363386,dqn_per
15,-150.36986101334477,-155.22986101334484,-197.2221819436632,114,87.36438044894335,-6.013205268982047,0.8794005936648479,dqn_per
16,-244.7263423236815,-248.56634232368145,-200.01654431895838,90,73.09215354983513,-10.679657984634579,0.8723653889155292,dqn_per
17,-136.959604713595,-141.32960471359496,-196.51338100754933,97,81.68742871985032,-4.863129989984035,0.865386465804205,dqn_per
