episodes,raw_rewards,shaped_rewards,rolling_avg,ep_lengths,td_losses,mean_qs,epsilons,variant
0,-110.24374208696283,-115.04374208696277,-110.24374208696283,117,1.1078715295768409,0.4465465914556483,0.992,dueling_dqn
1,-442.6074259743128,-446.14742597431274,-276.4255840306378,84,56.0609208738145,-0.1212648678262322,0.9840639999999999,dueling_dqn
2,-318.4150942516144,-322.57509425161436,-290.42208743763,97,58.17228607222791,4.718991073951305,0.9761914879999999,dueling_dqn
3,-249.8252877063806,-254.08528770638048,-280.2728875048177,99,72.64160699077661,0.8866552653550414,0.9683819560959999,dueling_dqn
4,-307.45626061717735,-311.2662606171772,-285.7095621272896,84,108.04755473590268,0.6728808643519963,0.9606349004472319,dueling_dqn
5,-115.18374975080737,-119.93374975080735,-257.2885933978759,110,136.25952673648078,-9.793732125709742,0.952949821243654,dueling_dqn
6,-130.71225584489267,-134.39225584489265,-239.20625946173547,85,119.42943543483187,-10.412082716833899,0.9453262226737048,dueling_dqn
7,-119.35074362649252,-123.7307436264925,-224.22431998233003,102,98.22201963662349,-11.003564481341819,0.9377636128923151,dueling_dqn
8,-119.29124179077053,-122.71124179077053,-212.56508907215675,75,89.55547468901605,-12.480666006753887,0.9302615039891766,dueling_dqn
9,-234.4231861236355,-239.20318612363548,-214.7508987773046,110,106.8118953694001,-10.441706414573943,0.9228194119572632,dueling_dqn
10,-137.71839148478267,-140.64839148478265,-207.74794356889353,67,74.42188006965844,-11.96183708573684,0.9154368566616051,dueling_dqn
11,-63.54749636777959,-68.03749636777954,-195.7312396354674,103,90.95674679626623,-7.963411334993056,0.9081133618083123,dueling_dqn
12,-395.4968057151898,-398.74680571518974,-211.0978216415999,74,93.57736290482164,-12.604841449058718,0.9008484549138458,dueling_dqn
13,-163.5878027584451,-167.06780275844505,-207.7042488642317,81,76.94986132027013,-8.674164640142475,0.893641667274535,dueling_dqn
14,-142.52593853997607,-145.755938539976,-203.35902817594797,73,85.42659319893008,-6.028191435809476,0.8864925339363386,dueling_dqn
15,-116.20390632316598,-121.51390632316593,-197.9118330601491,120,97.5330774325831,-3.6870879727206516,0.8794005936648479,dueling_dqn
16,-476.5556506295649,-480.15565062956495,-214.30264585835002,84,89.84885719176285,-0.9497647033581555,0.8723653889155292,dueling_dqn
17,-264.9459253648297,-268.85592536482955,-217.11616138648776,89,88.6921766246616,-12.394757718646146,0.865386465804205,dueling_dqn
18,-131.59326823184477,-138.1932682318447,-212.61495648361182,153,65.65100642009503,-7.1831243425113795,0.8584633740777713,dueling_dqn
19,-346.22128307733345,-350.6212830773336,-219.2952728132979,106,69.97990329706352,-9.152667464164914,0.8515956670851491,dueling_dqn
20,-166.49047443278783,-169.81047443278783,-216.7807586047022,76,46.53408792384662,-14.424391053145975,0.8447829017484679,dueling_dqn
21,-142.89218968607594,-146.72218968607592,-213.42218729021917,88,63.68716456170452,-14.79058341422535,0.8380246385344802,dueling_dqn
22,-156.09300367654455,-159.56300367654455,-210.92961408962464,79,64.36539299181737,-15.056774935419316,0.8313204414262043,dueling_dqn
23,-103.69096547121434,-109.4409654712143,-206.46133706385754,133,56.90503088094433,-12.363006755938674,0.8246698778947946,dueling_dqn
24,-125.32882303179153,-130.05882303179143,-203.2160365025749,115,66.36082972798626,-12.751991503821724,0.8180725188716362,dueling_dqn
25,-248.40573080935013,-255.05573080935,-204.9541016682201,148,63.89446368854577,-10.242265675969103,0.8115279387206631,dueling_dqn
26,-199.4473426107078,-204.6773426107077,-204.75014762905298,119,57.54396858147878,-11.015886877533282,0.8050357152108978,dueling_dqn
27,-266.28051293728,-270.3105129372799,-206.94766067577535,92,57.959241991419375,-4.008075286253907,0.7985954294892106,dueling_dqn
28,-88.21016324603559,-91.3001632460356,-202.85326421268087,72,56.69552624017495,-19.457852581905343,0.7922066660532969,dueling_dqn
29,-217.0212333419405,-221.93123334194047,-203.32552985032285,115,65.32239631575243,-12.389176580772505,0.7858690127248705,dueling_dqn
30,-181.18303900666112,-186.4330390066611,-202.6112559521402,120,71.4060373361066,-12.364148821162528,0.7795820606230716,dueling_dqn
31,-122.56192241707606,-128.00192241707606,-200.1097142791695,125,62.53872234262304,-10.104794215655405,0.773345404138087,dueling_dqn
32,-83.05270427334764,-89.7727042733476,-196.56253215778096,153,66.5712255742862,-8.706750785470332,0.7671586409049822,dueling_dqn
33,-123.98294952882136,-127.04294952882131,-194.42783855104685,75,51.426169359261195,-12.982526373076222,0.7610213717777423,dueling_dqn
34,-301.9646974580469,-305.77469745804694,-197.500320234104,90,51.51547833027756,-7.400816612722425,0.7549332008035203,dueling_dqn
35,-333.56330838290904,-337.643308382909,-201.27984768268192,87,49.21961861888279,-1.5763053135414893,0.7488937351970921,dueling_dqn
36,-114.59403835855053,-120.92403835855049,-198.9369879712189,147,46.38351044459661,-8.032517257458226,0.7429025853155153,dueling_dqn
